epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
42,3130.98,1.65566,2.26851,0.88865,0.00281,0.61531,0.7782,0.75098,0.79193,0.6135,0.66549,0.62428,0.61854,0.27199,1.22808,1.80725,0.86117,0.00339,0,0.000990365,0.000990365,0.000990365
43,3205.4,1.64034,2.24338,0.88195,0.00276,0.60615,0.75944,0.74128,0.78325,0.59858,0.65865,0.60719,0.5917,0.2527,1.2475,1.8586,1.1108,0.00341,0,0.000973861,0.000973861,0.000973861
44,3279.71,1.64726,2.24685,0.88215,0.00279,0.59377,0.77578,0.75785,0.79596,0.62088,0.66955,0.62822,0.61419,0.26979,1.22561,1.80158,0.88321,0.00334,0,0.000957358,0.000957358,0.000957358
45,3354.14,1.63163,2.2059,0.87936,0.00283,0.60643,0.76918,0.75598,0.79505,0.61716,0.66278,0.63166,0.6174,0.27239,1.23195,1.82691,1.07695,0.00333,0,0.000940855,0.000940855,0.000940855
46,3428.46,1.62102,2.20631,0.86763,0.00276,0.58302,0.77706,0.75261,0.79599,0.62193,0.68615,0.6174,0.61881,0.26962,1.21558,1.83085,1.00468,0.00325,0,0.000924352,0.000924352,0.000924352
47,3502.75,1.62656,2.20867,0.87712,0.00275,0.60444,0.7781,0.76138,0.79859,0.62132,0.67459,0.63703,0.62727,0.27778,1.22363,1.80531,0.91302,0.00331,0,0.000907848,0.000907848,0.000907848
48,3577.22,1.62792,2.20189,0.86068,0.00275,0.58596,0.77857,0.77028,0.80007,0.62535,0.67787,0.63786,0.61925,0.27318,1.21903,1.81206,0.87965,0.00327,0,0.000891345,0.000891345,0.000891345
49,3651.55,1.62934,2.20792,0.85859,0.00272,0.59017,0.78269,0.75867,0.79991,0.62614,0.68316,0.62388,0.62122,0.27618,1.22863,1.82916,0.89657,0.00331,0,0.000874842,0.000874842,0.000874842
50,3725.97,1.61845,2.21391,0.85707,0.00272,0.58254,0.78772,0.76694,0.80401,0.62978,0.67545,0.64324,0.62505,0.2809,1.21382,1.7998,0.74757,0.00318,0,0.000858338,0.000858338,0.000858338
51,3800.7,1.60335,2.18895,0.8512,0.00269,0.58985,0.78261,0.77294,0.80221,0.62505,0.66679,0.64284,0.62088,0.27813,1.20805,1.80809,0.81281,0.00315,0,0.000841835,0.000841835,0.000841835
52,3875.18,1.58866,2.16295,0.84067,0.00267,0.57064,0.79408,0.76461,0.80292,0.63325,0.68635,0.64358,0.63485,0.28839,1.20674,1.79783,0.82776,0.00311,0,0.000825332,0.000825332,0.000825332
53,3949.6,1.61574,2.18746,0.85137,0.00273,0.56866,0.76946,0.78111,0.80603,0.63214,0.66236,0.65739,0.6424,0.28815,1.19581,1.74955,0.89572,0.0032,0,0.000808828,0.000808828,0.000808828
54,4024.12,1.59427,2.16691,0.83881,0.00265,0.57195,0.78557,0.76903,0.8075,0.63331,0.67056,0.64706,0.63042,0.28038,1.1988,1.78874,0.8227,0.00316,0,0.000792325,0.000792325,0.000792325
55,4098.34,1.5997,2.15703,0.84337,0.00266,0.54787,0.7996,0.76058,0.80737,0.63068,0.68745,0.63018,0.61805,0.27679,1.19584,1.82203,1.01109,0.00316,0,0.000775822,0.000775822,0.000775822
56,4172.57,1.59397,2.16534,0.832,0.00264,0.56839,0.78807,0.75959,0.80446,0.63338,0.68159,0.64456,0.63412,0.28886,1.20379,1.78585,0.79397,0.00327,0,0.000759318,0.000759318,0.000759318
57,4247.1,1.59224,2.16261,0.83781,0.00262,0.55719,0.77794,0.77962,0.81009,0.63638,0.67999,0.65637,0.64381,0.2853,1.18567,1.79054,0.82658,0.00306,0,0.000742815,0.000742815,0.000742815
58,4321.43,1.58458,2.14312,0.82967,0.00258,0.54826,0.78971,0.77406,0.80513,0.63331,0.67272,0.64046,0.62375,0.27856,1.20388,1.83157,0.85741,0.00311,0,0.000726312,0.000726312,0.000726312
59,4395.88,1.58307,2.13339,0.82429,0.00262,0.55885,0.78637,0.77445,0.81147,0.64029,0.68459,0.65198,0.6412,0.28867,1.18602,1.75638,0.75842,0.00315,0,0.000709809,0.000709809,0.000709809
60,4470.22,1.55982,2.08832,0.81741,0.00258,0.55817,0.79744,0.76117,0.81002,0.63528,0.6838,0.63465,0.62336,0.27978,1.18897,1.77452,0.79579,0.00307,0,0.000693305,0.000693305,0.000693305
61,4544.57,1.56492,2.11655,0.81667,0.00259,0.53633,0.79687,0.76827,0.81042,0.63634,0.69178,0.64685,0.63871,0.28761,1.1869,1.78219,0.75808,0.00309,0,0.000676802,0.000676802,0.000676802
62,4618.94,1.56246,2.11506,0.81849,0.00254,0.54327,0.78375,0.77909,0.81507,0.64289,0.68822,0.65206,0.64474,0.28974,1.18512,1.7582,0.76874,0.00305,0,0.000660299,0.000660299,0.000660299
63,4693.54,1.56685,2.12595,0.81079,0.00256,0.51801,0.79641,0.7739,0.81088,0.63996,0.6875,0.65092,0.63771,0.28778,1.17335,1.75312,0.72831,0.00304,0,0.000643795,0.000643795,0.000643795
64,4767.95,1.57303,2.12775,0.81662,0.00255,0.5181,0.7974,0.77744,0.81671,0.64269,0.68668,0.66267,0.64276,0.29213,1.17941,1.75576,0.73092,0.00309,0,0.000627292,0.000627292,0.000627292
65,4842.27,1.56346,2.09855,0.80789,0.00253,0.5244,0.8055,0.77266,0.81411,0.64135,0.69713,0.65117,0.63881,0.29239,1.18134,1.76213,0.72789,0.00307,0,0.000610789,0.000610789,0.000610789
66,4916.81,1.55801,2.09463,0.8054,0.00252,0.50959,0.79866,0.78028,0.81609,0.64401,0.68883,0.65997,0.64111,0.2893,1.17593,1.76002,0.7315,0.00305,0,0.000594286,0.000594286,0.000594286
67,4991.45,1.56476,2.10507,0.80676,0.00252,0.51389,0.79288,0.78359,0.81911,0.6477,0.69236,0.66117,0.65012,0.29894,1.17103,1.7613,0.72363,0.00299,0,0.000577782,0.000577782,0.000577782
68,5065.98,1.54851,2.10326,0.79297,0.00247,0.52323,0.78333,0.78044,0.81409,0.64525,0.69086,0.65139,0.6422,0.2879,1.18067,1.77803,0.75194,0.00303,0,0.000561279,0.000561279,0.000561279
69,5140.28,1.54255,2.07921,0.78867,0.00248,0.50886,0.80671,0.7814,0.82093,0.65091,0.69813,0.66398,0.65269,0.29412,1.16959,1.75748,0.72977,0.003,0,0.000544776,0.000544776,0.000544776
70,5214.86,1.57179,2.12566,0.80528,0.00249,0.50905,0.80407,0.78444,0.82067,0.65278,0.68897,0.66388,0.64424,0.29155,1.16623,1.75421,0.72303,0.00297,0,0.000528272,0.000528272,0.000528272
71,5289.38,1.55321,2.08847,0.80059,0.00247,0.51248,0.79323,0.78364,0.81988,0.64977,0.68975,0.65572,0.63867,0.28647,1.16668,1.75029,0.78846,0.00295,0,0.000511769,0.000511769,0.000511769
72,5364.14,1.53967,2.07302,0.79023,0.00245,0.50773,0.79871,0.78185,0.81952,0.64887,0.69225,0.65644,0.64328,0.28891,1.17046,1.75764,0.76771,0.00298,0,0.000495266,0.000495266,0.000495266
73,5438.56,1.55368,2.09003,0.79671,0.00248,0.50324,0.79588,0.78206,0.82216,0.65532,0.70398,0.65661,0.65086,0.29427,1.15518,1.74774,0.71655,0.00295,0,0.000478762,0.000478762,0.000478762
74,5512.93,1.54599,2.07482,0.79103,0.00251,0.51165,0.81213,0.78153,0.82237,0.65416,0.6998,0.66386,0.65194,0.29741,1.1577,1.73022,0.69998,0.00293,0,0.000462259,0.000462259,0.000462259
75,5587.25,1.52796,2.05942,0.78481,0.00243,0.50145,0.81103,0.78235,0.82527,0.65722,0.71076,0.65835,0.65388,0.29813,1.15388,1.72547,0.72552,0.00293,0,0.000445756,0.000445756,0.000445756
76,5661.7,1.51845,2.03867,0.77545,0.00244,0.49017,0.79575,0.78383,0.81962,0.65096,0.69191,0.65665,0.64701,0.29394,1.16737,1.77228,0.76595,0.00298,0,0.000429253,0.000429253,0.000429253
77,5735.87,1.51988,2.03579,0.77623,0.00239,0.48656,0.80798,0.78976,0.82586,0.65882,0.71031,0.65871,0.64846,0.29779,1.15915,1.72503,0.73237,0.00299,0,0.000412749,0.000412749,0.000412749
78,5810.39,1.52903,2.04785,0.77244,0.00239,0.49103,0.79407,0.79318,0.82477,0.65746,0.69093,0.6606,0.6485,0.2951,1.15423,1.71933,0.74258,0.00297,0,0.000396246,0.000396246,0.000396246
79,5884.78,1.5294,2.04669,0.77419,0.0024,0.47494,0.80615,0.78906,0.82467,0.65548,0.69731,0.66057,0.64307,0.29331,1.15685,1.73908,0.71201,0.00298,0,0.000379743,0.000379743,0.000379743
80,5959.35,1.50945,2.01971,0.765,0.00236,0.48423,0.80263,0.7871,0.82037,0.65563,0.70349,0.66034,0.65169,0.29533,1.16058,1.75764,0.70433,0.00298,0,0.000363239,0.000363239,0.000363239
81,6033.7,1.51727,2.03842,0.76901,0.00239,0.48148,0.79732,0.79331,0.82273,0.65636,0.69699,0.66623,0.64947,0.29761,1.15693,1.74439,0.70739,0.00294,0,0.000346736,0.000346736,0.000346736
82,6108.32,1.53467,2.04973,0.76799,0.00235,0.47794,0.79555,0.79535,0.82466,0.65756,0.69871,0.66269,0.65107,0.29854,1.15391,1.74728,0.69691,0.00294,0,0.000330233,0.000330233,0.000330233
83,6182.58,1.49414,2.00067,0.75948,0.00236,0.4801,0.79358,0.79668,0.8258,0.65975,0.68773,0.66724,0.64993,0.30157,1.1474,1.73605,0.69075,0.00291,0,0.000313729,0.000313729,0.000313729
84,6256.78,1.5054,2.00586,0.76423,0.00236,0.47335,0.79994,0.79404,0.8268,0.65985,0.70949,0.65927,0.65211,0.29883,1.1501,1.74216,0.67911,0.00291,0,0.000297226,0.000297226,0.000297226
