epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,4978.23,0.58905,0.51054,0.43999,0.00371,0.39438,0.89958,0.91656,0.9511,0.86693,0.90078,0.91777,0.95116,0.82788,0.38102,0.4208,0.31879,0.00466,0,0.0012674,0.0012674,0.0012674
39,5108.77,0.57591,0.5144,0.44935,0.00355,0.41989,0.88748,0.92205,0.95493,0.86754,0.88631,0.92083,0.95249,0.83041,0.38449,0.42382,0.3872,0.00487,0,0.0012476,0.0012476,0.0012476
40,5239.32,0.56436,0.49884,0.41052,0.00355,0.35271,0.92734,0.88612,0.96115,0.87864,0.92608,0.88505,0.96035,0.83938,0.38425,0.39637,0.32036,0.00479,0,0.0012278,0.0012278,0.0012278
41,5369.91,0.56367,0.51005,0.42342,0.00357,0.3778,0.89858,0.9257,0.96495,0.88415,0.8974,0.92448,0.96259,0.84554,0.37685,0.39718,0.31242,0.00471,0,0.001208,0.001208,0.001208
42,5500.52,0.56149,0.49717,0.41855,0.00344,0.35554,0.92381,0.89647,0.95962,0.88236,0.92255,0.89525,0.9592,0.84058,0.36571,0.38798,0.35321,0.00455,0,0.0011882,0.0011882,0.0011882
43,5631.2,0.55223,0.49789,0.41159,0.00338,0.35449,0.92546,0.90987,0.96427,0.8906,0.92239,0.90743,0.96165,0.83846,0.34923,0.39411,0.31479,0.00427,0,0.0011684,0.0011684,0.0011684
44,5761.79,0.53792,0.48809,0.39985,0.00323,0.33877,0.92725,0.90865,0.95985,0.8822,0.92725,0.90865,0.95846,0.84394,0.35535,0.42888,0.33125,0.00445,0,0.0011486,0.0011486,0.0011486
45,5892.38,0.54069,0.4788,0.41355,0.00332,0.36828,0.92373,0.91457,0.95841,0.88249,0.9225,0.91335,0.95656,0.83898,0.34574,0.40658,0.34086,0.00408,0,0.0011288,0.0011288,0.0011288
46,6022.8,0.52936,0.4747,0.37983,0.00319,0.31752,0.94012,0.89403,0.96689,0.89191,0.93845,0.89281,0.96377,0.85076,0.3608,0.39781,0.29642,0.00436,0,0.001109,0.001109,0.001109
47,6153.36,0.54015,0.48997,0.40079,0.00332,0.34805,0.92741,0.90261,0.96366,0.88906,0.92587,0.90621,0.96298,0.84867,0.36494,0.40061,0.32887,0.00447,0,0.0010892,0.0010892,0.0010892
48,6283.81,0.52434,0.47526,0.37769,0.0031,0.31159,0.91168,0.9178,0.96305,0.89307,0.91289,0.91902,0.96128,0.84899,0.34484,0.39387,0.30888,0.00425,0,0.0010694,0.0010694,0.0010694
49,6414.3,0.5231,0.46876,0.3698,0.00312,0.31131,0.91569,0.91275,0.96481,0.8961,0.91569,0.91275,0.96467,0.85437,0.35194,0.39389,0.28437,0.00438,0,0.0010496,0.0010496,0.0010496
50,6544.88,0.50444,0.47161,0.36636,0.00303,0.30581,0.90692,0.92326,0.96532,0.89864,0.90692,0.92326,0.96411,0.85219,0.33716,0.37809,0.29421,0.00408,0,0.0010298,0.0010298,0.0010298
51,6675.43,0.50621,0.46533,0.36227,0.00296,0.29388,0.9331,0.90041,0.96628,0.89573,0.93184,0.8992,0.96423,0.85615,0.34054,0.37241,0.2807,0.00413,0,0.00101,0.00101,0.00101
52,6806.01,0.5042,0.46185,0.37513,0.00292,0.30791,0.91962,0.93179,0.96997,0.90418,0.91721,0.92935,0.96704,0.85591,0.32777,0.38087,0.28173,0.00388,0,0.0009902,0.0009902,0.0009902
