epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
59,5694.58,0.44047,0.42361,0.28984,0.00242,0.20838,0.93223,0.94153,0.97794,0.9232,0.93223,0.94153,0.97567,0.8742,0.33961,0.42112,0.26482,0.00347,0,0.0008516,0.0008516,0.0008516
60,5791.28,0.43586,0.41471,0.29614,0.00246,0.23032,0.92767,0.94641,0.97841,0.92786,0.92647,0.94519,0.97742,0.87545,0.33652,0.42271,0.2789,0.00338,0,0.0008318,0.0008318,0.0008318
61,5887.9,0.43548,0.41373,0.28658,0.00249,0.23104,0.94098,0.91271,0.97243,0.92326,0.92069,0.93325,0.97091,0.86803,0.323,0.44845,0.28761,0.00321,0,0.000812,0.000812,0.000812
62,5984.48,0.43259,0.40866,0.27444,0.00243,0.21388,0.94446,0.92814,0.9768,0.92407,0.94446,0.92814,0.97519,0.86796,0.33463,0.42063,0.26499,0.00332,0,0.0007922,0.0007922,0.0007922
63,6081.12,0.4252,0.40762,0.28245,0.00243,0.20015,0.93591,0.92814,0.9765,0.92497,0.93591,0.92814,0.9745,0.87018,0.33324,0.42888,0.2734,0.00345,0,0.0007724,0.0007724,0.0007724
64,6177.68,0.42865,0.41119,0.27324,0.00234,0.19189,0.93694,0.94114,0.97716,0.92314,0.93694,0.94114,0.97544,0.87751,0.33607,0.41064,0.26967,0.00335,0,0.0007526,0.0007526,0.0007526
65,6274.3,0.4148,0.40995,0.27527,0.00231,0.20766,0.93208,0.94884,0.97896,0.92935,0.93089,0.94762,0.97637,0.87661,0.32371,0.41876,0.26048,0.00314,0,0.0007328,0.0007328,0.0007328
66,6370.92,0.416,0.40081,0.26431,0.00234,0.18535,0.93563,0.93832,0.976,0.92465,0.93442,0.9371,0.97374,0.87026,0.32867,0.42787,0.28631,0.00332,0,0.000713,0.000713,0.000713
67,6467.46,0.42,0.40944,0.27543,0.00239,0.21117,0.94885,0.93544,0.9743,0.92082,0.94719,0.93423,0.96689,0.86668,0.32921,0.43241,0.26904,0.00336,0,0.0006932,0.0006932,0.0006932
68,6564.02,0.41009,0.39749,0.26035,0.00234,0.20344,0.92695,0.94285,0.97691,0.92863,0.92695,0.94285,0.97479,0.86688,0.32411,0.41199,0.27277,0.00321,0,0.0006734,0.0006734,0.0006734
69,6660.5,0.41149,0.39515,0.26721,0.00226,0.20042,0.93434,0.94275,0.97476,0.92914,0.93313,0.94153,0.97217,0.87319,0.3108,0.41201,0.27404,0.00309,0,0.0006536,0.0006536,0.0006536
